TIC,Sector,Plot 1,Plot 2,Teff,Tmag,log(g),CCD,Camera
281780792,2,281780792.jpg,281780792_flares.jpg,3179.0,12.8686,4.99009,2,3
287584993,2,287584993.jpg,287584993_flares.jpg,3946.0,11.0875,4.42499,3,4
294667961,1,294667961.jpg,294667961_flares.jpg,3302.0,13.7249,4.77398,1,4
300709924,1,300709924.jpg,300709924_flares.jpg,3386.0,12.3812,4.78581,3,4
307290964,2,307290964.jpg,307290964_flares.jpg,3322.0,11.7821,4.94809,3,4
307711716,2,307711716.jpg,307711716_flares.jpg,3266.0,13.9363,4.73404,3,4
307921974,2,307921974.jpg,307921974_flares.jpg,nan,12.97,nan,3,4
308209545,2,308209545.jpg,308209545_flares.jpg,3493.0,12.0403,4.57866,3,2
313934132,2,313934132.jpg,313934132_flares.jpg,nan,13.2658,nan,2,1
313934195,2,313934195.jpg,313934195_flares.jpg,4088.0,13.7897,4.65764,2,1
314018646,2,314018646.jpg,314018646_flares.jpg,nan,10.745,4.99099,4,2
316805931,2,316805931.jpg,316805931_flares.jpg,4080.0,10.3198,4.61557,1,1
327953002,2,327953002.jpg,327953002_flares.jpg,5970.0,9.9969,3.86773,3,1
33949202,2,33949202.jpg,33949202_flares.jpg,3442.0,10.0725,4.73958,2,1
339770560,1,339770560.jpg,339770560_flares.jpg,3236.0,12.5532,4.79494,3,4
354606420,2,354606420.jpg,354606420_flares.jpg,3325.0,11.8718,4.85906,1,3
355509155,2,355509155.jpg,355509155_flares.jpg,3286.0,11.6867,4.83535,2,3
381977500,2,381977500.jpg,381977500_flares.jpg,3312.0,14.2431,4.62222,1,4
393490554,2,393490554.jpg,393490554_flares.jpg,3194.0,12.9735,4.88277,1,4
401838575,2,401838575.jpg,401838575_flares.jpg,2840.0,14.0274,5.05202,2,2
402313695,2,402313695.jpg,402313695_flares.jpg,3310.0,12.6483,4.91824,4,1
406403791,2,406403791.jpg,406403791_flares.jpg,4837.0,9.8379,4.32168,4,1
407624075,2,407624075.jpg,407624075_flares.jpg,3125.0,13.6225,4.80552,3,2
41898474,2,41898474.jpg,41898474_flares.jpg,5524.0,9.683,3.61051,2,2
426018060,1,426018060.jpg,426018060_flares.jpg,3297.0,12.1824,4.79144,3,3
434096244,2,434096244.jpg,434096244_flares.jpg,4952.0,9.6694,4.3452,3,1
434097152,2,434097152.jpg,434097152_flares.jpg,3205.0,12.4577,4.85029,3,1
441490000,2,441490000.jpg,441490000_flares.jpg,nan,13.478,5.14912,3,1
47424649,2,47424649.jpg,47424649_flares.jpg,3285.0,12.6165,4.98883,1,1
49619607,2,49619607.jpg,49619607_flares.jpg,5075.0,8.9306,4.15227,3,1
49622317,2,49622317.jpg,49622317_flares.jpg,3109.0,13.7393,4.87971,3,1
50232454,1,50232454.jpg,50232454_flares.jpg,2858.0,14.1096,5.03351,3,3
55848120,1,55848120.jpg,55848120_flares.jpg,3169.0,14.147,4.87647,1,4
5727213,2,5727213.jpg,5727213_flares.jpg,nan,11.149,4.95667,4,1
66472244,2,66472244.jpg,66472244_flares.jpg,nan,10.572,nan,2,1
7151484,2,7151484.jpg,7151484_flares.jpg,3403.0,9.87974,4.79158,1,2
89546779,2,89546779.jpg,89546779_flares.jpg,3344.0,13.7451,4.64498,2,1
9210746,2,9210746.jpg,9210746_flares.jpg,3406.0,8.72831,4.6895,3,1
