# tic_id,sector,outburst,flare,tpeak,tpeak_ll,tpeak_ul,ampl,ampl_ll,ampl_ul,fwhm,fwhm_ll,fwhm_ul,duration,duration_ll,duration_ul,bol_energy,bol_energy_ll,bol_energy_ul,M_CME,M_CME_ll,M_CME_ul,tessmag,teff,radius,logg,type,tess_rot,kelt_rot,rot,FFD_alpha,FFD_beta,preb_chem,ozone_depl_cons,ozone_depl_perm
152088075,2,2,1,2458370.4487032383,7.74008221924305e-05,6.240420043468475e-05,0.2896474063425811,0.058908130833782324,0.08855402226464515,0.00035138220779554153,9.418076906056124e-05,0.00011383086197019524,0.005996726633933011,0.004180041800418005,0.00838675053417201,8.548643918166542e+31,6.401939889076067e+30,5.359809463399455e+30,1.2343393318693732e+19,1.1882497153525377e+19,1.0889749099757326e+20,12.26399994,3151.0,0.219,5.04309988,M0-M4.5,0.357,nan,0.357,-1.85928196862,58.4382327991,0.0,0.0,0.0
152088075,2,3,1,2458379.814025713,0.00010052928701043129,8.827820420265198e-05,0.07798343082357617,0.009661174416498025,0.013515568246212792,0.0019749267498842455,0.0004809165678868919,0.0005031234003258678,0.024170241702417022,0.017550175501755014,0.03180365136984703,1.2203783125233361e+32,1.5577393778480611e+31,1.529271377106791e+31,2.7748039299993764e+19,2.733996346670248e+19,2.212181050527896e+20,12.26399994,3151.0,0.219,5.04309988,M0-M4.5,0.357,nan,0.357,-1.85928196862,58.4382327991,0.0,0.0,0.0
154616669,2,1,1,2458358.7432857696,0.00011970708146691322,0.00011730659753084183,0.11187409785190805,0.009907479462124141,0.009996322356410514,0.0036656982685338508,0.0006379868766063449,0.0006631117551192632,0.04980049800498004,0.04008373417067504,0.060200602006020065,1.571100651783056e+33,2.7009193154767435e+32,2.1601171767341692e+32,1.07777414866598e+20,1.040936096830489e+20,1.269635908409907e+21,12.84300041,3446.0,0.36000001,4.88929987,M0-M4.5,nan,nan,nan,-5.37354856962,177.390103386,0.0,0.0,0.0
154616669,2,1,2,2458358.740302062,4.004873335361481e-05,4.220288246870041e-05,0.32054075393621856,0.03765850818346378,0.0486728188691396,0.0011564903496401522,0.00024699229413077943,0.00029722339431108606,0.020166868335350016,0.015453487868212018,0.02609026090260902,1.357769629417669e+33,1.6583489930525414e+32,9.389084111593017e+31,3.125082908960054e+20,3.0037658179707994e+20,3.32870428955487e+21,12.84300041,3446.0,0.36000001,4.88929987,M0-M4.5,nan,nan,nan,-5.37354856962,177.390103386,0.0,0.0,0.0
154616669,2,2,1,2458372.524022569,0.00016780197620391846,0.00018188823014497757,0.08140288238463939,0.00588120142982472,0.006299862068000414,0.00639357941850342,0.0009842271950525946,0.0010643508712832551,0.07927745944126108,0.06556398897322305,0.09454427877612108,1.7268730842967566e+33,2.133977447384711e+32,1.8744683570005854e+32,9.713925246891006e+19,9.078271570870868e+19,7.465037727985794e+20,12.84300041,3446.0,0.36000001,4.88929987,M0-M4.5,nan,nan,nan,-5.37354856962,177.390103386,0.0,0.0,0.0
154616669,2,3,1,2458374.7337965076,9.485054761171341e-05,9.834440425038338e-05,0.15401217548432736,0.008929357149217138,0.009422372658533629,0.0028292559281910047,0.0003018713506794993,0.00032907523848065305,0.04182375157084903,0.03679703463701303,0.04738714053807205,1.362984298363425e+33,6.776682063973014e+31,1.08451261100885e+32,1.0578625561750258e+20,9.857198116204986e+19,2.6063051797184313e+21,12.84300041,3446.0,0.36000001,4.88929987,M0-M4.5,nan,nan,nan,-5.37354856962,177.390103386,0.0,0.0,0.0
154616669,2,4,1,2458379.167643565,0.00023792963474988937,0.00013465248048305511,0.16196191853503356,0.026019994897276716,0.0160749096945714,0.002989458027189668,0.001707972381019553,0.0006669206505120619,0.04475044750447503,0.018343516768501017,0.056020560205602046,1.649247436484798e+33,9.118809096853712e+32,5.209266941986397e+32,1.155531726341923e+20,1.1336614559909164e+20,4.91268398350817e+21,12.84300041,3446.0,0.36000001,4.88929987,M0-M4.5,nan,nan,nan,-5.37354856962,177.390103386,0.0,0.0,0.0
154616669,2,4,2,2458379.1703093476,0.0010221856646239758,0.000835163053125143,0.05417129940475544,0.017872209871604317,0.04702753587021415,0.009224410061006216,0.0022487434780796072,0.002813782007538757,0.1004210042100421,0.06558065580655807,0.15904492378257115,1.6891516933748756e+33,6.737630516943285e+32,1.072676364626165e+33,1.168563447545409e+20,1.0801827837057645e+20,2.048429462294881e+21,12.84300041,3446.0,0.36000001,4.88929987,M0-M4.5,nan,nan,nan,-5.37354856962,177.390103386,0.0,0.0,0.0
155776875,2,1,1,2458357.139037288,3.4777913242578506e-05,3.752019256353378e-05,0.8854085587083922,0.028992897102624093,0.030479516471960455,0.002923918755329947,0.0001635840863753145,0.00016974093747109146,0.061667283339500056,0.057887245539122056,0.06562398957322906,4.118846633801091e+32,1.3094300965853373e+31,1.3632221682274216e+31,3.042928674368924e+19,2.8406717231782978e+19,5.0941129388050245e+20,14.07800007,2844.0,0.132,5.18850994,M4.5-M10,0.952,nan,0.952,-0.474090777032,14.2473460618,0.0,0.0,0.0
155776875,2,1,2,2458357.2223089943,7.829349488019943e-05,8.044298738241196e-05,0.49697893848587843,0.01806797739468108,0.01854523161548799,0.005191618845426838,0.00033185312526149303,0.00035556893833525206,0.09872432057653907,0.09176758434251009,0.1062177288439551,3.788307830298079e+32,2.171833895054628e+31,1.3995894887803637e+31,9.2688100359862e+19,9.077495817365319e+19,8.867140493868443e+20,14.07800007,2844.0,0.132,5.18850994,M4.5-M10,0.952,nan,0.952,-0.474090777032,14.2473460618,0.0,0.0,0.0
155776875,2,2,1,2458371.862558374,0.00028551090508699417,0.0002596946433186531,0.21097145231347258,0.012893176399998374,0.01295763195996602,0.009920442061285792,0.001057259008116743,0.001180133942830763,0.15811158111581117,0.13925139251392513,0.1792984596512632,3.110255715269792e+32,2.3132814183210715e+31,3.1809581417068533e+31,3.218535234588704e+19,3.07919854823696e+19,6.133649732662671e+20,14.07800007,2844.0,0.132,5.18850994,M4.5-M10,0.952,nan,0.952,-0.474090777032,14.2473460618,0.0,0.0,0.0
155776875,2,3,1,2458377.133907965,0.0001636766828596592,0.0001314627006649971,0.36543639578325765,0.05803511768348113,0.10442614347519363,0.0009834286303178656,0.000285869729537149,0.00029302670065443296,0.017613509468428018,0.012056787234539013,0.024013573469068017,5.680563048858031e+31,6.655297193506975e+30,5.89907229417636e+30,9.685809039330664e+18,9.064378907544237e+18,2.0949797817261343e+20,14.07800007,2844.0,0.132,5.18850994,M4.5-M10,0.952,nan,0.952,-0.474090777032,14.2473460618,0.0,0.0,0.0
155895287,2,1,1,2458356.419390934,9.698234498500824e-05,9.307404980063438e-05,0.20952386845528864,0.016661051192966292,0.018766926263666106,0.002300729266524259,0.00031456085916899785,0.0003297503541800136,0.03661036610366103,0.031013643469768024,0.04266709333760005,4.565936082248268e+32,4.302862807591846e+31,4.709737763299217e+31,5.058055041683516e+19,4.9403163202864325e+19,7.983230779163813e+20,13.46399975,3115.0,nan,nan,M0-M4.5,0.708,nan,0.708,-0.938367838754,29.8320802438,0.0,0.0,0.0
155895287,2,2,1,2458357.5502422494,3.236345946788788e-05,2.3859087377786636e-05,3.2117351123070748,0.30220827415326257,0.5492855163391592,0.000488714921616057,6.36809400568538e-05,7.207922754500049e-05,0.012566792334590016,0.01077677443441101,0.014740147401474016,1.367380183126003e+33,8.505319018220033e+31,1.2786302191194363e+32,8.310806933077333e+19,7.550511886072519e+19,1.6278276769728635e+21,13.46399975,3115.0,nan,nan,M0-M4.5,0.708,nan,0.708,-0.938367838754,29.8320802438,0.0,0.0,0.0
